"company","sum"
"Lightricks","80"
"VinFast US","80"
"Nylas","80"
"Verbit","80"
"Buenbit","80"
"Spin","78"
"Rangle","78"
"Casper","78"
"Built In","78"
"Ada","78"
"Mogo","78"
"Pulse Secure","78"
"BounceX","77"
"Astronomer","76"
"Lokalise","76"
"Uniphore","76"
"O'Reilly Media","75"
"Arrive Logistics","75"
"Metigy","75"
"99","75"
"BitMEX","75"
"Palantir","75"
"Sami","75"
"Zeitgold","75"
"Thriver","75"
"DISCO","75"
"Gramophone","75"
"Kaltura","75"
"Varo","75"
"ThirdLove","75"
"Outschool","74"
"Gokada","74"
"Heycar","73"
"Quanergy Systems","72"
"Juni","72"
"Properly","71"
"Yotpo","70"
"Aura","70"
"Hibob","70"
"BitTitan","70"
"Involves","70"
"Boozt","70"
"Banxa","70"
"1stdibs","70"
"Goodfood","70"
"Kyruus","70"
"Carwow","70"
"Oscar Health","70"
"PickYourTrail","70"
"Hippo Insurance","70"
"KoinWorks","70"
"Bungalow","70"
"Acast","70"
"Quantcast","70"
"StudySmarter","70"
"Moss","70"
"Virtudent","70"
"The Iconic","69"
"HashiCorp","69"
"Redesign Health","67"
"Ajaib","67"
"Clari","65"
"uShip","65"
"Curve","65"
"Balto","65"
"InfluxData","65"
"BeyondMinds","65"
"Repertoire Immune Medicines","65"
"Mixpanel","65"
"Funding Societies","65"
"Chope","65"
"Playdots","65"
"Virta Health","65"
"Mapbox","64"
"Checkr","64"
"Sigfox","64"
"UserTesting","63"
"SynapseFI","63"
"Project44","63"
"Warby Parker","63"
"divvyDOSE","62"
"Numbrs","62"
"Element AI","62"
"OrCam","62"
"CS Disco","62"
"Bossa Nova","61"
"Shippo","60"
"Me Poupe","60"
"Deputy","60"
"MadeiraMadeira","60"
"VerticalScope","60"
"Forto","60"
"Lunchbox","60"
"Flywire","60"
"TechTarget","60"
"Parler","60"
"Raken","60"
"Revolut","60"
"FourKites","60"
"C6 Bank","60"
"Workmotion","60"
"Sanar","60"
"Harappa","60"
"Away","60"
"Optimizely","60"
"Tilting Point","60"
"Daily Harvest","60"
"ClickUp","60"
"WazirX","60"
"CleverTap","60"
"Elementor","60"
"Afterverse","60"
"Grin","60"
"Protocol","60"
"Melio","60"
"Quicko","60"
"Parallel Wireless","60"
"Fiverr","60"
"Nate","60"
"BlueStacks","60"
"Drift","59"
"Medallia","59"
"Exodus","59"
"Bonsai","59"
"Stord","59"
"Rasa","59"
"Pitch","59"
"Chili Piper","58"
"Hash","58"
"Envoy","58"
"Canoo","58"
"Introhive","57"
"Rhino","57"
"Splyt","57"
"Loom","57"
"Rubrik","57"
"Divergent 3D","57"
"Vesta","56"
"The Wing","56"
"Wave Sports and Entertainment","56"
"When I Work","55"
"Pomelo Fashion","55"
"Tufin","55"
"GoBolt","55"
"Definitive Healthcare","55"
"SalesLoft","55"
"Urban Sports Club","55"
"Udacity","55"
"Collective Health","54"
"Tempo Automation","54"
"Marketforce","54"
"The Mom Project","54"
"Actifio","54"
"MediaMath","53"
"Ualá","53"
"OutboundEngine","52"
"Showpad","52"
"Lemonade","52"
"Bamboo Health","52"
"Turnitin","51"
"Cardlytics","51"
"RealSelf","51"
"Highsnobiety","51"
"Mercos","51"
"Ada Health","50"
"Zoopla","50"
"Puppet","50"
"Vezeeta","50"
"Earnin","50"
"Dazn","50"
"JOKR","50"
"Wonderschool","50"
"LiveTiles","50"
"Dutchie","50"
"ClearCo","50"
"SkySlope","50"
"Acorns","50"
"Minute Media","50"
"iPrice Group","50"
"Replicated","50"
"Ambev Tech","50"
"Segment","50"
"Linktree","50"
"Q4","50"
"Tiendanube","50"
"Inmobi","50"
"Group Nine Media","50"
"Remote Year","50"
"Kontist","50"
"Wahoo Fitness","50"
"Eucalyptus","50"
"Breathe","50"
"Headspace","50"
"Iron Ox","50"
"Pocket Aces","50"
"Warren","50"
"Impossible Foods","50"
"Rubicon Project","50"
"Lyst","50"
"American Robotics","50"
"Imperfect Foods","50"
"Lastline","50"
"Jimdo","50"
"Iflix","50"
"Equitybee","49"
"Shogun","48"
"Netlify","48"
"Button","48"
"Bench","47"
"Polly","47"
"HuffPo","47"
"Trybe","47"
"Alto Pharmacy","47"
"Karat","47"
"Ecobee","47"
"Unbounce","47"
"Payfactors","46"
"Wonolo","46"
"The Athletic","46"
"Riot Games","46"
"Viant","46"
"Akili Labs","46"
"Freetrade","45"
"Hubba","45"
"Pendo","45"
"Workstream","45"
"Intapp","45"
"Viber","45"
"Teachmint","45"
"Zumper","45"
"VSCO","45"
"Nuri","45"
"Namogoo","45"
